Name,Goals
Aaron Connolly ,5
Aaron Cresswell ,4
Aaron Lennon ,1
Aaron Mooy ,9
Aaron O'Driscoll ,0
Aaron Ramsdale ,0
Aaron Ramsey ,12
Aaron Rowe ,0
Aaron Tshibola ,0
Aaron Wan-Bissaka ,2
Abdelhamid Sabiri ,0
Abdoulaye Doucouré ,19
Abdul Rahman Baba ,0
Abel Hernández ,4
Aboubakar Kamara ,3
Achraf Lazaar ,0
Adalberto Peñaranda ,0
Adam Armstrong ,0
Adam Bogdan ,0
Adam Clayton ,0
Adam Federici ,0
Adam Forshaw ,0
Adam Idah ,0
Adam Lallana ,10
Adam Leathers ,0
Adam Legzdins ,0
Adam Lewis ,0
Adam Masina ,1
Adam Matthews ,0
Adam Parkes ,0
Adam Reach ,0
Adam Smith ,3
Adam Webster ,4
Adama Diakhaby ,0
Adama Diomande ,2
Adama Traoré ,4
Ademipo Odubeko ,0
Ademola Lookman ,5
Adlène Guédioura ,0
Admiral Muskwe ,0
Adnan Januzaj ,0
Adnan Maric ,0
Adrian Mariappa ,0
Adrien Silva ,0
Adrián ,0
Adrián Bernabé ,0
Ahmed El Mohamady ,1
Ahmed Hegazi ,2
Ahmed Musa ,2
Aiden McGeady ,0
Aiden O'Neill ,0
Ainsley Maitland-Niles ,1
Ajibola Alese ,0
Akin Famewo ,0
Akos Onodi ,0
Alan Hutton ,0
Albert Adomah ,0
Alberto Moreno ,0
Alberto Paloschi ,0
Albian Ajeti ,0
Aleix García ,0
Aleksandar Dragovic ,0
Aleksandar Kolarov ,1
Aleksandar Mitrovic ,15
Ales Mateju ,0
Alex Baptiste ,0
Alex Bruce ,0
Alex Cochrane ,0
Alex Denny ,0
Alex Iwobi ,11
Alex McCarthy ,0
Alex Oxlade-Chamberlain ,10
Alex Pike ,0
Alex Pritchard ,4
Alex Smithies ,0
Alex Telles ,0
Alexander Manninger ,0
Alexander Sørloth ,0
Alexander Tettey ,1
Alexandre Jankewitz ,0
Alexandre Lacazette ,50
Alexandre Song ,0
Alexis Mac Allister ,1
Alexis Sánchez ,33
Alfie Devine ,0
Alfie Mawson ,6
Alfie McCalmont ,0
Alfie Payne ,0
Alfie Whiteman ,0
Alfred N'Diaye ,1
Ali Gabr ,0
Ali Koiki ,0
Alireza Jahanbakhsh ,2
Alisson ,1
Allan ,0
Allan McGregor ,0
Allan Saint-Maximin ,6
Allan Tchaptchet ,0
Allan-Roméo Nyom ,0
Almen Abdi ,0
Alpha Richard Dionkou ,0
Alphonse Areola ,0
Amad Diallo ,0
Ander Herrera ,3
Anders Lindegaard ,0
Andi Janjeva ,0
Andi Zeqiri ,0
Andre Gray ,9
Andre Green ,0
Andre Olukanmi ,0
Andre Wisdom ,0
